Info 0    [23:37:57.027] Starting TS Server
Info 1    [23:37:57.032] Version: 4.3.5
Info 2    [23:37:57.032] Arguments: /Users/akshay/.nvm/versions/node/v14.17.3/bin/node /Users/akshay/.emacs.d/.cache/lsp/npm/typescript/bin/tsserver --logFile /Users/akshay/code/stale-label-fetch/.log/tsserver.log --logVerbosity info --cancellationPipeName /private/var/folders/4m/7gwttds95x77r1ln12f6dj180000gn/T/3f7f83b1c8fcf7755f933f3d69a44843/tscancellation*
Info 3    [23:37:57.032] Platform: darwin NodeVersion: 14 CaseSensitive: false
Info 4    [23:37:57.032] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [23:37:57.055] Search path: /Users/akshay/code/stale-label-fetch
Info 6    [23:37:57.055] For info: /Users/akshay/code/stale-label-fetch/index.js :: No config files found.
Info 7    [23:37:57.058] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 8    [23:37:58.032] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true Elapsed: 973.8570830821991ms
Info 9    [23:37:58.033] Project '/dev/null/inferredProject1*' (Inferred)
Info 10   [23:37:58.033] 	Files (19)

Info 11   [23:37:58.033] -----------------------------------------------
Info 12   [23:37:58.045] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject1*
Info 13   [23:37:59.059] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject1* Version: 1 structureChanged: true Elapsed: 1014.6124589443207ms
Info 14   [23:37:59.059] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 15   [23:37:59.059] 	Files (93)

Info 16   [23:37:59.059] -----------------------------------------------
Info 17   [23:37:59.111] Format host information updated
Info 18   [23:37:59.111] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 19   [23:37:59.518] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: true Elapsed: 406.63437509536743ms
Info 20   [23:37:59.518] Project '/dev/null/inferredProject1*' (Inferred)
Info 21   [23:37:59.518] 	Files (66)

Info 22   [23:37:59.518] -----------------------------------------------
Info 23   [23:37:59.518] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 24   [23:37:59.518] 	Files (93)

Info 25   [23:37:59.518] -----------------------------------------------
Info 26   [23:37:59.761] Format host information updated
Info 27   [23:37:59.962] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 28   [23:37:59.973] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: true Elapsed: 10.480208039283752ms
Info 29   [23:37:59.973] Different program with same set of files:: structureIsReused:: 1
Info 30   [23:38:00.200] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 31   [23:38:00.209] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false Elapsed: 9.417667031288147ms
Info 32   [23:38:00.209] Different program with same set of files:: structureIsReused:: 2
Info 33   [23:38:01.447] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 34   [23:38:01.456] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: true Elapsed: 9.369708061218262ms
Info 35   [23:38:01.456] Different program with same set of files:: structureIsReused:: 1
Info 36   [23:38:05.665] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 37   [23:38:06.325] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: true Elapsed: 659.1741660833359ms
Info 38   [23:38:06.325] Project '/dev/null/inferredProject1*' (Inferred)
Info 39   [23:38:06.325] 	Files (153)

Info 40   [23:38:06.325] -----------------------------------------------
Info 41   [23:38:06.325] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 42   [23:38:06.325] 	Files (93)

Info 43   [23:38:06.325] -----------------------------------------------
Info 44   [23:38:06.332] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 45   [23:38:06.342] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false Elapsed: 10.302417039871216ms
Info 46   [23:38:06.342] Different program with same set of files:: structureIsReused:: 2
Info 47   [23:38:07.914] Before ensureProjectForOpenFiles:
Info 48   [23:38:07.914] After ensureProjectForOpenFiles:
Info 49   [23:38:07.914] got projects updated in background, updating diagnostics for /Users/akshay/code/stale-label-fetch/index.js
Info 50   [23:58:38.084] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 51   [23:58:38.175] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false Elapsed: 87.03604197502136ms
Info 52   [23:58:38.175] Different program with same set of files:: structureIsReused:: 2
Info 53   [23:58:59.583] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
